Weight (g),Color,Diameter (cm),Fruit Type
120,Yellow,6,Banana
2019,Brown,22.76,Coconut
157,Green,8.66,Apple
1719,Brown,13.66,Pineapple
150,Orange,9.73,Orange
137,Yellow,4.71,Banana
210,Yellow,10.12,Mango
4673,Green,25.4,Watermelon
138,Yellow,4.43,Banana
15,Green,1.15,Grape
4871,Green,28.03,Watermelon
916,Green,11.91,Papaya
1267,Orange,13.32,Papaya
297,Yellow,10.59,Mango
334,Yellow,9.39,Mango
1369,Orange,16.34,Papaya
582,Green,11.84,Papaya
202,Orange,8.82,Orange
15,Green,1.54,Grape
223,Orange,7.35,Orange
210,Orange,9.29,Orange
24,Red,2.81,Lychee
198,Orange,9.83,Orange
11,Green,1.97,Grape
345,Green,10.18,Mango
608,Green,12.78,Papaya
16,Pink,2.69,Lychee
2479,Green,20.25,Coconut
268,Orange,8.36,Orange
83,Yellow,4.95,Banana
110,Yellow,3.1,Banana
138,Yellow,3.83,Banana
191,Orange,6.32,Orange
124,Yellow,3.15,Banana
189,Green,6.22,Apple
147,Yellow,4.05,Banana
13,Green,1.43,Grape
126,Red,8.59,Apple
1275,Brown,17.46,Coconut
94,Yellow,4.97,Banana
1209,Brown,20.08,Coconut
961,Green,15.58,Papaya
1279,Brown,19.7,Pineapple
1421,Brown,21.79,Coconut
4800,Green,23.26,Watermelon
1990,Yellow,13.67,Pineapple
293,Green,8.07,Mango
271,Yellow,9.07,Mango
725,Green,15.66,Papaya
393,Green,8.14,Mango
21,Pink,2.54,Lychee
223,Red,10.72,Mango
1286,Green,12.85,Papaya
81,Yellow,4.17,Banana
1222,Orange,16.9,Papaya
3807,Green,20.4,Watermelon
1006,Brown,14.12,Pineapple
291,Orange,6.81,Orange
3607,Green,21.12,Watermelon
21,Red,2.47,Lychee
108,Yellow,3.89,Banana
9,Green,1.93,Grape
126,Red,8.99,Apple
108,Yellow,3.46,Banana
9,Purple,1.51,Grape
179,Orange,7.66,Orange
1492,Green,15.12,Coconut
1453,Yellow,19.06,Pineapple
131,Green,7.89,Apple
215,Orange,9.58,Orange
85,Yellow,4.63,Banana
1796,Brown,17.49,Pineapple
149,Yellow,4.79,Banana
191,Orange,6.91,Orange
396,Red,10.08,Mango
143,Red,8.75,Apple
119,Yellow,3.12,Banana
244,Yellow,9.98,Mango
3263,Green,23.15,Watermelon
124,Yellow,3.17,Banana
9,Green,1.82,Grape
4950,Green,21.09,Watermelon
